task_id,language_full,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,question sentence,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,question code,choice_index,finish_reason,text,codex_language_phrase_1,codex_code_phrase_1,codex_language_phrase_2,codex_code_phrase_2,codex_language_phrase_3,codex_code_phrase_3
20," In Game 1, a team of Norman and Allen won against Marvin."," In Game 1, a team of Norman and Allen won against Marvin.",,,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Norman?","condition(winner(['Norman', 'Allen'],['Marvin'],1) == 1);",,,,strength(Allen),0,stop,"
//  In Game 1, a team of Norman and Allen won against Marvin.
condition(winner(['Norman', 'Allen'],['Marvin'],1) == 1);

"," In Game 1, a team of Norman and Allen won against Marvin.","condition(winner(['Norman', 'Allen'],['Marvin'],1) == 1);",,,,
21," In Game 1, a team of Glenn and Jeffery won against Vincent."," In Game 1, a team of Glenn and Jeffery won against Vincent.",,,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Vincent?","condition(winner(['Vincent'],['Glenn', 'Jeffery'],1) == 2);",,,,strength(Glenn),0,stop,"
//  In Game 1, a team of Glenn and Jeffery won against Vincent.
condition(winner(['Glenn', 'Jeffery'],['Vincent'],1) == 1);

"," In Game 1, a team of Glenn and Jeffery won against Vincent.","condition(winner(['Glenn', 'Jeffery'],['Vincent'],1) == 1);",,,,
22," In Game 1, a team of Travis and Jeff won against a team of Jacob, Lee, and Melvin. In Game 2, Jeff won against a team of Jacob and Lee."," In Game 1, a team of Travis and Jeff won against a team of Jacob, Lee, and Melvin."," In Game 2, Jeff won against a team of Jacob and Lee.",,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Travis?","condition(winner(['Travis', 'Jeff'],['Jacob', 'Lee', 'Melvin'],1) == 1);","condition(winner(['Jeff'],['Jacob', 'Lee'],2) == 1);",,,strength(Jeff),0,stop,"
//  In Game 1, a team of Travis and Jeff won against a team of Jacob, Lee, and Melvin.
condition(winner(['Travis', 'Jeff'],['Jacob', 'Lee', 'Melvin'],1) == 1);

//  In Game 2, Jeff won against a team of Jacob and Lee.
condition(winner(['Jeff'],['Jacob', 'Lee'],2) == 1);

"," In Game 1, a team of Travis and Jeff won against a team of Jacob, Lee, and Melvin.","condition(winner(['Travis', 'Jeff'],['Jacob', 'Lee', 'Melvin'],1) == 1);"," In Game 2, Jeff won against a team of Jacob and Lee.","condition(winner(['Jeff'],['Jacob', 'Lee'],2) == 1);",,
23," In Game 1, a team of Alfred and Bradley won against a team of Jesus, Kyle, and Francis. In Game 2, a team of Alfred and Jesus won against a team of Kyle, Francis, and Bradley."," In Game 1, a team of Alfred and Bradley won against a team of Jesus, Kyle, and Francis."," In Game 2, a team of Alfred and Jesus won against a team of Kyle, Francis, and Bradley.",,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Alfred?","condition(winner(['Alfred', 'Bradley'],['Jesus', 'Kyle', 'Francis'],1) == 1);","condition(winner(['Alfred', 'Jesus'],['Kyle', 'Francis', 'Bradley'],2) == 1);",,,strength(Kyle),0,stop,"
//  In Game 1, a team of Alfred and Bradley won against a team of Jesus, Kyle, and Francis.
condition(winner(['Alfred', 'Bradley'],['Jesus', 'Kyle', 'Francis'],1) == 1);

//  In Game 2, a team of Alfred and Jesus won against a team of Kyle, Francis, and Bradley.
condition(winner(['Alfred', 'Jesus'],['Kyle', 'Francis', 'Bradley'],2) == 1);

"," In Game 1, a team of Alfred and Bradley won against a team of Jesus, Kyle, and Francis.","condition(winner(['Alfred', 'Bradley'],['Jesus', 'Kyle', 'Francis'],1) == 1);"," In Game 2, a team of Alfred and Jesus won against a team of Kyle, Francis, and Bradley.","condition(winner(['Alfred', 'Jesus'],['Kyle', 'Francis', 'Bradley'],2) == 1);",,
24," In Game 1, a team of Herbert, Frederick, and Ray won against a team of Joel, Edwin, and Don. In Game 2, a team of Frederick and Ray won against a team of Joel, Edwin, and Don."," In Game 1, a team of Herbert, Frederick, and Ray won against a team of Joel, Edwin, and Don."," In Game 2, a team of Frederick and Ray won against a team of Joel, Edwin, and Don.",,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Herbert?","condition(winner(['Herbert', 'Frederick', 'Ray'],['Joel', 'Edwin', 'Don'],1) == 1);","condition(winner(['Frederick', 'Ray'],['Joel', 'Edwin', 'Don'],2) == 1);",,,strength(Frederick),0,stop,"
//  In Game 1, a team of Herbert, Frederick, and Ray won against a team of Joel, Edwin, and Don.
condition(winner(['Herbert', 'Frederick', 'Ray'],['Joel', 'Edwin', 'Don'],1) == 1);

//  In Game 2, a team of Frederick and Ray won against a team of Joel, Edwin, and Don.
condition(winner(['Frederick', 'Ray'],['Joel', 'Edwin', 'Don'],2) == 1);

"," In Game 1, a team of Herbert, Frederick, and Ray won against a team of Joel, Edwin, and Don.","condition(winner(['Herbert', 'Frederick', 'Ray'],['Joel', 'Edwin', 'Don'],1) == 1);"," In Game 2, a team of Frederick and Ray won against a team of Joel, Edwin, and Don.","condition(winner(['Frederick', 'Ray'],['Joel', 'Edwin', 'Don'],2) == 1);",,
25," In Game 1, Troy won against a team of Eddie and Ricky."," In Game 1, Troy won against a team of Eddie and Ricky.",,,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Eddie?","condition(winner(['Eddie', 'Ricky'],['Troy'],1) == 2);",,,,strength(Ricky),0,stop,"
//  In Game 1, Troy won against a team of Eddie and Ricky.
condition(winner(['Troy'],['Eddie', 'Ricky'],1) == 1);

"," In Game 1, Troy won against a team of Eddie and Ricky.","condition(winner(['Troy'],['Eddie', 'Ricky'],1) == 1);",,,,
26," In Game 1, Randall won against a team of Barry and Alexander."," In Game 1, Randall won against a team of Barry and Alexander.",,,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Randall?","condition(winner(['Randall'],['Barry', 'Alexander'],1) == 1);",,,,strength(Barry),0,stop,"
//  In Game 1, Randall won against a team of Barry and Alexander.
condition(winner(['Randall'],['Barry', 'Alexander'],1) == 1);

"," In Game 1, Randall won against a team of Barry and Alexander.","condition(winner(['Randall'],['Barry', 'Alexander'],1) == 1);",,,,
27," In Game 1, a team of Francisco, Marcus, and Micheal won against a team of Bernard and Mario. In Game 2, a team of Francisco and Marcus won against Mario."," In Game 1, a team of Francisco, Marcus, and Micheal won against a team of Bernard and Mario."," In Game 2, a team of Francisco and Marcus won against Mario.",,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Bernard?","condition(winner(['Bernard', 'Mario'],['Francisco', 'Marcus', 'Micheal'],1) == 2);","condition(winner(['Mario'],['Francisco', 'Marcus'],2) == 2);",,,strength(Mario),0,stop,"
//  In Game 1, a team of Francisco, Marcus, and Micheal won against a team of Bernard and Mario.
condition(winner(['Francisco', 'Marcus', 'Micheal'],['Bernard', 'Mario'],1) == 1);

//  In Game 2, a team of Francisco and Marcus won against Mario.
condition(winner(['Francisco', 'Marcus'],['Mario'],2) == 1);

"," In Game 1, a team of Francisco, Marcus, and Micheal won against a team of Bernard and Mario.","condition(winner(['Francisco', 'Marcus', 'Micheal'],['Bernard', 'Mario'],1) == 1);"," In Game 2, a team of Francisco and Marcus won against Mario.","condition(winner(['Francisco', 'Marcus'],['Mario'],2) == 1);",,
28," In Game 1, a team of Jay, Clifford, and Miguel won against a team of Theodore and Oscar. In Game 2, a team of Clifford, Miguel, and Oscar won against a team of Theodore and Jay."," In Game 1, a team of Jay, Clifford, and Miguel won against a team of Theodore and Oscar."," In Game 2, a team of Clifford, Miguel, and Oscar won against a team of Theodore and Jay.",,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Theodore?","condition(winner(['Theodore', 'Oscar'],['Jay', 'Clifford', 'Miguel'],1) == 2);","condition(winner(['Theodore', 'Jay'],['Clifford', 'Miguel', 'Oscar'],2) == 2);",,,strength(Clifford),0,stop,"
//  In Game 1, a team of Jay, Clifford, and Miguel won against a team of Theodore and Oscar.
condition(winner(['Jay', 'Clifford', 'Miguel'],['Theodore', 'Oscar'],1) == 1);

//  In Game 2, a team of Clifford, Miguel, and Oscar won against a team of Theodore and Jay.
condition(winner(['Clifford', 'Miguel', 'Oscar'],['Theodore', 'Jay'],2) == 1);

"," In Game 1, a team of Jay, Clifford, and Miguel won against a team of Theodore and Oscar.","condition(winner(['Jay', 'Clifford', 'Miguel'],['Theodore', 'Oscar'],1) == 1);"," In Game 2, a team of Clifford, Miguel, and Oscar won against a team of Theodore and Jay.","condition(winner(['Clifford', 'Miguel', 'Oscar'],['Theodore', 'Jay'],2) == 1);",,
29," In Game 1, a team of Alex, Jon, and Ronnie won against a team of Jim, Tom, and Calvin. In Game 2, a team of Alex, Jon, and Ronnie won against a team of Tom and Calvin."," In Game 1, a team of Alex, Jon, and Ronnie won against a team of Jim, Tom, and Calvin."," In Game 2, a team of Alex, Jon, and Ronnie won against a team of Tom and Calvin.",,,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Jim?","condition(winner(['Jim', 'Tom', 'Calvin'],['Alex', 'Jon', 'Ronnie'],1) == 2);","condition(winner(['Tom', 'Calvin'],['Alex', 'Jon', 'Ronnie'],2) == 2);",,,strength(Tom),0,stop,"
//  In Game 1, a team of Alex, Jon, and Ronnie won against a team of Jim, Tom, and Calvin.
condition(winner(['Alex', 'Jon', 'Ronnie'],['Jim', 'Tom', 'Calvin'],1) == 1);

//  In Game 2, a team of Alex, Jon, and Ronnie won against a team of Tom and Calvin.
condition(winner(['Alex', 'Jon', 'Ronnie'],['Tom', 'Calvin'],2) == 1);

"," In Game 1, a team of Alex, Jon, and Ronnie won against a team of Jim, Tom, and Calvin.","condition(winner(['Alex', 'Jon', 'Ronnie'],['Jim', 'Tom', 'Calvin'],1) == 1);"," In Game 2, a team of Alex, Jon, and Ronnie won against a team of Tom and Calvin.","condition(winner(['Alex', 'Jon', 'Ronnie'],['Tom', 'Calvin'],2) == 1);",,
